年分,總計,growth_rate
91,303684,-0.3
92,300150,-1.16
93,314034,4.63
94,327396,4.25
95,338755,3.47
96,357937,5.66
97,365060,1.99
98,351016,-3.85
99,379653,8.16
100,425660,12.12
101,445579,4.68
102,489134,9.77
103,551596,12.77
104,587940,6.59
105,624768,6.26
106,663234,9.46
91,9454000,-0.3
92,9573000,-1.16
93,9786000,4.63
94,9942000,4.25
95,10111000,3.47
96,10294000,5.66
97,10403000,1.99
98,10279000,-3.85
99,10493000,8.16
100,10709000,12.12
101,10860000,4.68
102,10967000,9.77
103,11079000,12.77
104,11198000,6.59
105,11267000,6.26
106,11382000,9.46
